trait,source,n,expected,rank,top,top_z,exp_z,p_exp,q_exp,n_tracks_exp,acc_tracks_exp,hit1
Type 2 diabetes,Mahajan 2018,150,ISLET,1,ISLET,0.497,0.497,0.07183972,0.095786296,5,1,1
Coronary artery disease,Aragam 2022,150,ARTERY,1,ARTERY,0.879,0.879,0.0041195285,0.0076866923,30,13,1
Heart rate,Verma 2024,150,HEART,1,HEART,1.412,1.412,0.0009996434,0.0033321443,27,21,1
Atrial fibrillation,Yuan 2025,150,HEART,1,HEART,0.868,0.868,0.11563404,0.14454255,27,21,1
Platelet count,Jee 2025,150,IMMUNE,1,IMMUNE,0.848,0.848,2.3272456e-08,4.6544912e-07,63,38,1
Ulcerative colitis,Liu 2023,150,IMMUNE,1,IMMUNE,0.502,0.502,0.0042276806,0.0076866923,63,38,1
Type 1 diabetes,Robertson 2021,66,IMMUNE,1,IMMUNE,0.825,0.825,0.029658094,0.042368706,63,38,1
Alkaline phosphatase,Sakaue 2021,150,LIVER,1,LIVER,1.163,1.163,0.009080031,0.015133385,18,7,1
Alanine aminotransferase,UKB-WGS 2025,150,LIVER,1,LIVER,1.33,1.33,3.3024826e-05,0.00033024827,18,7,1
Free cholesterol in large LDL,Zoodsma 2025,111,LIVER,1,LIVER,1.287,1.287,0.002401331,0.0060033277,18,7,1
Crohn's disease (medication proxy),FinnGen R12,50,IMMUNE,1,IMMUNE,0.833,0.833,0.002710344,0.006022987,63,38,1
Atopic dermatitis,Oliva 2025,85,SKIN,2,IMMUNE,2.47,1.773,0.0015708294,0.004488084,26,7,0
Body mass index,UKB-WGS 2025,150,BRAIN,3,ADIPOSE,0.39,0.287,0.19484016,0.21648908,45,19,0
HDL cholesterol,Zoodsma 2025,150,LIVER,3,ADIPOSE,0.97,0.652,9.810014e-05,0.0004905007,18,7,0
Systolic blood pressure,Surendran 2020,148,ARTERY,3,MUSCLE,0.221,0.172,0.34073395,0.3586673,30,13,0
Intelligence,Savage 2018,150,BRAIN,3,ARTERY,0.191,0.146,0.8658561,0.8658561,45,19,0
Lung function (FEV1/FVC),Shrine 2023,150,LUNG,5,HEART,0.851,0.709,0.00021676063,0.0008670425,14,7,0
Asthma,Han 2020,122,IMMUNE,5,ARTERY,0.978,0.716,5.394653e-05,0.0003596435,63,38,0
Triglycerides,Klarin 2018,109,LIVER,6,ADIPOSE,0.56,0.224,0.020888204,0.0321357,18,7,0
Type 2 diabetes (replication),Xue 2018,118,ISLET,8,IMMUNE,0.486,0.185,0.16857377,0.19832209,5,1,0
