trait,source,n,expected,rank,top,top_z,exp_z,p_exp,q_exp,visibility,recovered,n_tracks_exp,acc_tracks_exp,boot,med_negp
Type 2 diabetes,Mahajan 2018,150,ISLET,1,ISLET,0.497,0.497,0.07183972,0.095786296,0.38026005,1,5,1,0.4445,13.0
Coronary artery disease,Aragam 2022,150,ARTERY,1,ARTERY,0.879,0.879,0.0041195285,0.0076866923,0.5121636,1,30,13,0.7905,15.5
Heart rate,Verma 2024,150,HEART,1,HEART,1.412,1.412,0.0009996434,0.0033321443,0.93864083,1,27,21,0.649,20.0
Atrial fibrillation,Yuan 2025,150,HEART,1,HEART,0.868,0.868,0.11563404,0.14454255,0.31945607,1,27,21,0.964,26.0
Platelet count,Jee 2025,150,IMMUNE,1,IMMUNE,0.848,0.848,2.3272456e-08,4.6544912e-07,0.77196515,1,63,38,0.449,38.5
Ulcerative colitis,Liu 2023,150,IMMUNE,1,IMMUNE,0.502,0.502,0.0042276806,0.0076866923,0.3572233,1,63,38,0.5895,13.0
Type 1 diabetes,Robertson 2021,66,IMMUNE,1,IMMUNE,0.825,0.825,0.029658094,0.042368706,0.4834084,1,63,38,0.9195,13.5
Alkaline phosphatase,Sakaue 2021,150,LIVER,1,LIVER,1.163,1.163,0.009080031,0.015133385,0.6759195,1,18,7,0.7615,22.5
Alanine aminotransferase,UKB-WGS 2025,150,LIVER,1,LIVER,1.33,1.33,3.3024826e-05,0.00033024827,0.8133981,1,18,7,0.926,18.5
Free cholesterol in large LDL,Zoodsma 2025,111,LIVER,1,LIVER,1.287,1.287,0.002401331,0.0060033277,0.7002519,1,18,7,0.941,12.0
Crohn's disease (medication proxy),FinnGen R12,50,IMMUNE,1,IMMUNE,0.833,0.833,0.002710344,0.006022987,0.7704906,1,63,38,0.4835,10.0
Atopic dermatitis,Oliva 2025,85,SKIN,2,IMMUNE,2.47,1.773,0.0015708294,0.004488084,1.9108955,0,26,7,0.0415,12.0
Body mass index,UKB-WGS 2025,150,BRAIN,3,ADIPOSE,0.39,0.287,0.19484016,0.21648908,0.21347809,0,45,19,0.1685,16.0
HDL cholesterol,Zoodsma 2025,150,LIVER,3,ADIPOSE,0.97,0.652,9.810014e-05,0.0004905007,0.61657,0,18,7,0.077,24.0
Systolic blood pressure,Surendran 2020,148,ARTERY,3,MUSCLE,0.221,0.172,0.34073395,0.3586673,0.11643489,0,30,13,0.0535,13.0
Intelligence,Savage 2018,150,BRAIN,3,ARTERY,0.191,0.146,0.8658561,0.8658561,0.066165745,0,45,19,0.2485,10.0
Lung function (FEV1/FVC),Shrine 2023,150,LUNG,5,HEART,0.851,0.709,0.00021676063,0.0008670425,0.64264816,0,14,7,0.1535,23.0
Asthma,Han 2020,122,IMMUNE,5,ARTERY,0.978,0.716,5.394653e-05,0.0003596435,0.90331167,0,63,38,0.1075,12.0
Triglycerides,Klarin 2018,109,LIVER,6,ADIPOSE,0.56,0.224,0.020888204,0.0321357,0.25651458,0,18,7,0.004,12.0
Type 2 diabetes (replication),Xue 2018,118,ISLET,8,IMMUNE,0.486,0.185,0.16857377,0.19832209,0.36085868,0,5,1,0.049,11.0
