trait,source,n,expected,rank,top,top_z,exp_z,p_exp,q_exp
Type 2 diabetes,Mahajan 2018,150,ISLET,1,ISLET,0.497,0.497,0.07183972,0.11052264615384616
Free cholesterol in large LDL,Zoodsma 2025,111,LIVER,1,LIVER,1.287,1.287,0.002401331,0.0060033275
Coronary artery disease,Aragam 2022,150,ARTERY,1,ARTERY,0.879,0.879,0.0041195285,0.008239057
Heart rate,Verma 2024,150,HEART,1,HEART,1.412,1.412,0.0009996434,0.003332144666666667
Alanine aminotransferase,UKB-WGS 2025,150,LIVER,1,LIVER,1.33,1.33,3.3024826e-05,0.00033024826
Alkaline phosphatase,Sakaue 2021,150,LIVER,1,LIVER,1.163,1.163,0.009080031,0.016509147272727273
Crohn's disease (medication proxy),FinnGen R12,50,IMMUNE,1,IMMUNE,0.833,0.833,0.002710344,0.0060229866666666665
Ulcerative colitis (PheCode),Verma 2024,149,IMMUNE,1,IMMUNE,-0.007,-0.007,0.98854536,0.98854536
Atrial fibrillation,Yuan 2025,150,HEART,1,HEART,0.868,0.868,0.11563404,0.1651914857142857
Platelet count,Jee 2025,150,IMMUNE,1,IMMUNE,0.848,0.848,2.3272456e-08,4.6544912e-07
Cognitive ability / education,Lam 2019,150,BRAIN,2,IMMUNE,0.22,-0.057,0.82070535,0.8639003684210526
Atopic dermatitis,Oliva 2025,85,SKIN,2,IMMUNE,2.47,1.773,0.0015708294,0.004488084000000001
HDL cholesterol,Zoodsma 2025,150,LIVER,3,ADIPOSE,0.97,0.652,9.810014e-05,0.0004905007
Systolic blood pressure,Surendran 2020,148,ARTERY,3,MUSCLE,0.221,0.172,0.34073395,0.4259174375
Body mass index,Kichaev 2018,150,BRAIN,3,ADIPOSE,0.161,0.098,0.7965713,0.8639003684210526
Lung function (FEV1/FVC),Shrine 2023,150,LUNG,5,HEART,0.851,0.709,0.00021676063,0.00086704252
Asthma,Han 2020,122,IMMUNE,5,ARTERY,0.978,0.716,5.394653e-05,0.0003596435333333333
Triglycerides,Klarin 2018,109,LIVER,6,ADIPOSE,0.56,0.224,0.020888204,0.034813673333333336
Type 1 diabetes (PheCode),Verma 2024,72,IMMUNE,7,SKIN,0.253,0.058,0.67064303,0.7889918
Type 2 diabetes (replication),Xue 2018,118,ISLET,8,IMMUNE,0.486,0.185,0.16857377,0.22476502666666667
