trait,expected,ag_rank,ag_top,ag_q,ld_rank,ld_top,ld_p,agree
Free cholesterol in large LDL,LIVER,1,LIVER,0.0060033277,1,LIVER,0.0215983715541527,True
HDL cholesterol,LIVER,3,ADIPOSE,0.0004905007,2,ADIPOSE,0.0451204711020368,True
Alanine aminotransferase,LIVER,1,LIVER,0.00033024827,1,LIVER,0.0027238919634836,True
Alkaline phosphatase,LIVER,1,LIVER,0.015133385,1,LIVER,9.554717209113455e-05,True
Ulcerative colitis,IMMUNE,1,IMMUNE,0.0076866923,1,IMMUNE,0.0017399974764756,True
Type 1 diabetes,IMMUNE,1,IMMUNE,0.042368706,2,LUNG,0.0157242398268442,False
Asthma,IMMUNE,5,ARTERY,0.0003596435,1,IMMUNE,0.0208132058046296,False
Atrial fibrillation,HEART,1,HEART,0.14454255,1,HEART,0.0031197675633916,True
Heart rate,HEART,1,HEART,0.0033321443,1,HEART,8.832731492048538e-06,True
Coronary artery disease,ARTERY,1,ARTERY,0.0076866923,3,LUNG,0.0780739053928289,False
Systolic blood pressure,ARTERY,3,MUSCLE,0.3586673,2,ADIPOSE,0.0096460063790998,False
Body mass index,BRAIN,3,ADIPOSE,0.21648908,1,BRAIN,0.0016272435878545,False
Intelligence,BRAIN,3,ARTERY,0.8658561,1,BRAIN,0.0002375308394873,False
Lung function (FEV1/FVC),LUNG,5,HEART,0.0008670425,3,ARTERY,0.0701100950027624,False
Atopic dermatitis,SKIN,2,IMMUNE,0.004488084,7,IMMUNE,0.5858846222801479,True
Type 2 diabetes (replication),ISLET,8,IMMUNE,0.19832209,1,ISLET,0.0321020587547353,False
