name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,nonzero_mean,grp
CL:0000084 ATAC-seq,.,ATAC-seq,CL:0000084,T-cell,primary_cell,adult,encode,paired,False,0.7397409677505493,
CL:0000100 ATAC-seq,.,ATAC-seq,CL:0000100,motor neuron,in_vitro_differentiated_cells,adult,encode,paired,False,0.27313634753227234,BRAIN
CL:0000236 ATAC-seq,.,ATAC-seq,CL:0000236,B cell,primary_cell,adult,encode,paired,False,4.7000813484191895,IMMUNE
CL:0000623 ATAC-seq,.,ATAC-seq,CL:0000623,natural killer cell,primary_cell,adult,encode,paired,False,0.9387146234512329,IMMUNE
CL:0000624 ATAC-seq,.,ATAC-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,4.365206241607666,IMMUNE
CL:0000625 ATAC-seq,.,ATAC-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,4.313536643981934,IMMUNE
CL:0000787 ATAC-seq,.,ATAC-seq,CL:0000787,memory B cell,primary_cell,adult,encode,paired,False,2.8392298221588135,IMMUNE
CL:0000788 ATAC-seq,.,ATAC-seq,CL:0000788,naive B cell,primary_cell,adult,encode,paired,False,1.5962289571762085,IMMUNE
CL:0000792 ATAC-seq,.,ATAC-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,adult,encode,paired,False,1.5548043251037598,IMMUNE
CL:0000895 ATAC-seq,.,ATAC-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,1.0227291584014893,IMMUNE
CL:0000899 ATAC-seq,.,ATAC-seq,CL:0000899,T-helper 17 cell,primary_cell,adult,encode,paired,False,1.5611252784729004,
CL:0000900 ATAC-seq,.,ATAC-seq,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,1.8816421031951904,IMMUNE
CL:0000907 ATAC-seq,.,ATAC-seq,CL:0000907,"central memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,4.821074485778809,IMMUNE
CL:0000913 ATAC-seq,.,ATAC-seq,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,2.472047805786133,IMMUNE
CL:1001606 ATAC-seq,.,ATAC-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,encode,paired,False,0.4663943946361542,SKIN
CLO:0013950 ATAC-seq,.,ATAC-seq,CLO:0013950,GM21619,cell_line,adult,encode,paired,False,1.7834908962249756,
CLO:0014043 ATAC-seq,.,ATAC-seq,CLO:0014043,GM21717,cell_line,adult,encode,paired,False,1.2564560174942017,
CLO:0014078 ATAC-seq,.,ATAC-seq,CLO:0014078,GM21529,cell_line,adult,encode,paired,False,1.5800923109054565,
CLO:0014080 ATAC-seq,.,ATAC-seq,CLO:0014080,GM21528,cell_line,adult,encode,paired,False,1.3013041019439697,
CLO:0014083 ATAC-seq,.,ATAC-seq,CLO:0014083,GM21526,cell_line,adult,encode,paired,False,1.3625142574310303,
CLO:0014097 ATAC-seq,.,ATAC-seq,CLO:0014097,GM21576,cell_line,adult,encode,paired,False,1.7179261445999146,
CLO:0014163 ATAC-seq,.,ATAC-seq,CLO:0014163,GM21447,cell_line,adult,encode,paired,False,2.170809030532837,
CLO:0014886 ATAC-seq,.,ATAC-seq,CLO:0014886,GM21723,cell_line,adult,encode,paired,False,1.3347936868667603,
CLO:0014941 ATAC-seq,.,ATAC-seq,CLO:0014941,GM21825,cell_line,adult,encode,paired,False,1.5821340084075928,
CLO:0015884 ATAC-seq,.,ATAC-seq,CLO:0015884,GM21390,cell_line,adult,encode,paired,False,1.7690157890319824,
CLO:0015895 ATAC-seq,.,ATAC-seq,CLO:0015895,GM21381,cell_line,adult,encode,paired,False,1.7851890325546265,
CLO:0015900 ATAC-seq,.,ATAC-seq,CLO:0015900,GM21367,cell_line,adult,encode,paired,False,2.0021002292633057,
CLO:0015908 ATAC-seq,.,ATAC-seq,CLO:0015908,GM21360,cell_line,adult,encode,paired,False,1.826042890548706,
CLO:0015947 ATAC-seq,.,ATAC-seq,CLO:0015947,GM21423,cell_line,adult,encode,paired,False,1.6216312646865845,
CLO:0024877 ATAC-seq,.,ATAC-seq,CLO:0024877,GM18511,cell_line,adult,encode,paired,False,1.3245776891708374,
CLO:0024886 ATAC-seq,.,ATAC-seq,CLO:0024886,GM18519,cell_line,adult,encode,paired,False,1.904711365699768,
CLO:0024890 ATAC-seq,.,ATAC-seq,CLO:0024890,GM18517,cell_line,adult,encode,paired,False,1.3415968418121338,
CLO:0024898 ATAC-seq,.,ATAC-seq,CLO:0024898,GM18520,cell_line,adult,encode,paired,False,1.8731361627578735,
CLO:0024919 ATAC-seq,.,ATAC-seq,CLO:0024919,GM18508,cell_line,adult,encode,paired,False,2.859638214111328,
CLO:0024933 ATAC-seq,.,ATAC-seq,CLO:0024933,GM18499,cell_line,adult,encode,paired,False,3.3136110305786133,
CLO:0024937 ATAC-seq,.,ATAC-seq,CLO:0024937,GM18498,cell_line,adult,encode,paired,False,1.1740740537643433,
CLO:0025816 ATAC-seq,.,ATAC-seq,CLO:0025816,GM19035,cell_line,adult,encode,paired,False,1.7000188827514648,
CLO:0026238 ATAC-seq,.,ATAC-seq,CLO:0026238,GM18907,cell_line,adult,encode,paired,False,0.7575818300247192,
CLO:0026245 ATAC-seq,.,ATAC-seq,CLO:0026245,GM18873,cell_line,adult,encode,paired,False,1.4657907485961914,
CLO:0026249 ATAC-seq,.,ATAC-seq,CLO:0026249,GM18870,cell_line,adult,encode,paired,False,1.5401667356491089,
CLO:0026250 ATAC-seq,.,ATAC-seq,CLO:0026250,GM18867,cell_line,adult,encode,paired,False,1.0017602443695068,
CLO:0026253 ATAC-seq,.,ATAC-seq,CLO:0026253,GM18868,cell_line,adult,encode,paired,False,1.1957333087921143,
CLO:0026256 ATAC-seq,.,ATAC-seq,CLO:0026256,GM18861,cell_line,adult,encode,paired,False,1.6442385911941528,
CLO:0026258 ATAC-seq,.,ATAC-seq,CLO:0026258,GM18858,cell_line,adult,encode,paired,False,2.154571056365967,
CLO:0026782 ATAC-seq,.,ATAC-seq,CLO:0026782,GM19397,cell_line,adult,encode,paired,False,1.8430635929107666,
CLO:0026790 ATAC-seq,.,ATAC-seq,CLO:0026790,GM19395,cell_line,adult,encode,paired,False,1.3690444231033325,
CLO:0026824 ATAC-seq,.,ATAC-seq,CLO:0026824,GM19438,cell_line,adult,encode,paired,False,2.8961288928985596,
CLO:0026846 ATAC-seq,.,ATAC-seq,CLO:0026846,GM19452,cell_line,adult,encode,paired,False,2.1193931102752686,
CLO:0026863 ATAC-seq,.,ATAC-seq,CLO:0026863,GM19455,cell_line,adult,encode,paired,False,2.0495858192443848,
CLO:0026874 ATAC-seq,.,ATAC-seq,CLO:0026874,GM19463,cell_line,adult,encode,paired,False,2.3056650161743164,
CLO:0026877 ATAC-seq,.,ATAC-seq,CLO:0026877,GM19467,cell_line,adult,encode,paired,False,1.7229173183441162,
CLO:0027429 ATAC-seq,.,ATAC-seq,CLO:0027429,GM19372,cell_line,adult,encode,paired,False,2.746520519256592,
CLO:0027432 ATAC-seq,.,ATAC-seq,CLO:0027432,GM19351,cell_line,adult,encode,paired,False,1.6009893417358398,
CLO:0027443 ATAC-seq,.,ATAC-seq,CLO:0027443,GM19324,cell_line,adult,encode,paired,False,1.1978780031204224,
CLO:0027445 ATAC-seq,.,ATAC-seq,CLO:0027445,GM19328,cell_line,adult,encode,paired,False,2.474120855331421,
EFO:0001086 ATAC-seq,.,ATAC-seq,EFO:0001086,A549,cell_line,adult,encode,single,False,1.4976966381072998,LUNG
EFO:0001187 ATAC-seq,.,ATAC-seq,EFO:0001187,HepG2,cell_line,child,encode,paired,False,0.3457242250442505,LIVER
EFO:0001196 ATAC-seq,.,ATAC-seq,EFO:0001196,IMR-90,cell_line,embryonic,encode,paired,False,1.5381346940994263,
EFO:0001203 ATAC-seq,.,ATAC-seq,EFO:0001203,MCF-7,cell_line,adult,encode,paired,False,1.545133113861084,
EFO:0001221 ATAC-seq,.,ATAC-seq,EFO:0001221,NCI-H929,cell_line,adult,encode,paired,False,0.8327634930610657,
EFO:0002067 ATAC-seq,.,ATAC-seq,EFO:0002067,K562,cell_line,adult,encode,paired,False,0.3458327054977417,
EFO:0002074 ATAC-seq,.,ATAC-seq,EFO:0002074,PC-3,cell_line,adult,encode,paired,False,1.5142802000045776,
EFO:0002713 ATAC-seq,.,ATAC-seq,EFO:0002713,Panc1,cell_line,adult,encode,paired,False,1.317395806312561,
EFO:0002784 ATAC-seq,.,ATAC-seq,EFO:0002784,GM12878,cell_line,adult,encode,paired,False,0.37652507424354553,IMMUNE
EFO:0002824 ATAC-seq,.,ATAC-seq,EFO:0002824,HCT116,cell_line,adult,encode,paired,False,1.5315731763839722,
EFO:0005332 ATAC-seq,.,ATAC-seq,EFO:0005332,GM18505,cell_line,adult,encode,paired,False,1.7733904123306274,
EFO:0007074 ATAC-seq,.,ATAC-seq,EFO:0007074,DND-41,cell_line,child,encode,paired,False,1.5603737831115723,
EFO:0007610 ATAC-seq,.,ATAC-seq,EFO:0007610,RWPE2,cell_line,unknown,encode,paired,False,1.0684702396392822,
EFO:0007950 ATAC-seq,.,ATAC-seq,EFO:0007950,GM23338,cell_line,adult,encode,paired,False,0.39514708518981934,
EFO:0009747 ATAC-seq,.,ATAC-seq,EFO:0009747,WTC11,cell_line,adult,encode,paired,False,1.1249884366989136,
EFO:0010835 ATAC-seq,.,ATAC-seq,EFO:0010835,GM19023,cell_line,adult,encode,paired,False,2.2722747325897217,
EFO:0010836 ATAC-seq,.,ATAC-seq,EFO:0010836,GM19025,cell_line,adult,encode,paired,False,2.6639323234558105,
EFO:0010837 ATAC-seq,.,ATAC-seq,EFO:0010837,GM19043,cell_line,adult,encode,paired,False,2.891838312149048,
EFO:0010838 ATAC-seq,.,ATAC-seq,EFO:0010838,GM21515,cell_line,adult,encode,paired,False,1.4099575281143188,
EFO:0010839 ATAC-seq,.,ATAC-seq,EFO:0010839,GM21737,cell_line,adult,encode,paired,False,1.7709256410598755,
EFO:0010840 ATAC-seq,.,ATAC-seq,EFO:0010840,GM21786,cell_line,adult,encode,paired,False,2.0250661373138428,
EFO:0010841 ATAC-seq,.,ATAC-seq,EFO:0010841,HG02571,cell_line,adult,encode,paired,False,2.0339393615722656,
EFO:0010842 ATAC-seq,.,ATAC-seq,EFO:0010842,HG02588,cell_line,adult,encode,paired,False,1.6361886262893677,
EFO:0010843 ATAC-seq,.,ATAC-seq,EFO:0010843,HG02610,cell_line,adult,encode,paired,False,1.073131799697876,
EFO:0010844 ATAC-seq,.,ATAC-seq,EFO:0010844,HG02623,cell_line,adult,encode,paired,False,2.20443058013916,
EFO:0010846 ATAC-seq,.,ATAC-seq,EFO:0010846,HG02678,cell_line,adult,encode,paired,False,1.3135043382644653,
EFO:0010847 ATAC-seq,.,ATAC-seq,EFO:0010847,HG02759,cell_line,adult,encode,paired,False,1.389145851135254,
EFO:0010848 ATAC-seq,.,ATAC-seq,EFO:0010848,HG02763,cell_line,adult,encode,paired,False,1.718657374382019,
EFO:0010850 ATAC-seq,.,ATAC-seq,EFO:0010850,HG02840,cell_line,adult,encode,paired,False,1.8972817659378052,
EFO:0010851 ATAC-seq,.,ATAC-seq,EFO:0010851,HG02852,cell_line,adult,encode,paired,False,1.8264821767807007,
EFO:0010852 ATAC-seq,.,ATAC-seq,EFO:0010852,HG02870,cell_line,adult,encode,paired,False,1.808053970336914,
EFO:0010853 ATAC-seq,.,ATAC-seq,EFO:0010853,HG02884,cell_line,adult,encode,paired,False,2.4083950519561768,
EFO:0010855 ATAC-seq,.,ATAC-seq,EFO:0010855,HG02938,cell_line,adult,encode,paired,False,2.012936592102051,
EFO:0010856 ATAC-seq,.,ATAC-seq,EFO:0010856,HG02943,cell_line,adult,encode,paired,False,2.342193603515625,
EFO:0010857 ATAC-seq,.,ATAC-seq,EFO:0010857,HG02970,cell_line,adult,encode,paired,False,1.6933996677398682,
EFO:0010858 ATAC-seq,.,ATAC-seq,EFO:0010858,HG02973,cell_line,adult,encode,paired,False,1.6970741748809814,
EFO:0010859 ATAC-seq,.,ATAC-seq,EFO:0010859,HG02981,cell_line,adult,encode,paired,False,1.7394976615905762,
EFO:0010860 ATAC-seq,.,ATAC-seq,EFO:0010860,HG03025,cell_line,adult,encode,paired,False,2.08929181098938,
EFO:0010861 ATAC-seq,.,ATAC-seq,EFO:0010861,HG03039,cell_line,adult,encode,paired,False,1.887401819229126,
EFO:0010862 ATAC-seq,.,ATAC-seq,EFO:0010862,HG03045,cell_line,adult,encode,paired,False,1.4358277320861816,
EFO:0010863 ATAC-seq,.,ATAC-seq,EFO:0010863,HG03060,cell_line,adult,encode,paired,False,2.9752275943756104,
EFO:0010864 ATAC-seq,.,ATAC-seq,EFO:0010864,HG03064,cell_line,adult,encode,paired,False,2.4102463722229004,
