name,strand,Assay title,ontology_curie,biosample_name,biosample_type,data_source,nonzero_mean,grp
LQhCAGE CL:0000077,+,LQhCAGE,CL:0000077,mesothelial cell,primary_cell,fantom,272.4184265136719,
LQhCAGE CL:0000136,+,LQhCAGE,CL:0000136,fat cell,primary_cell,fantom,41.71626663208008,IMMUNE
LQhCAGE CL:0000767,+,LQhCAGE,CL:0000767,basophil,primary_cell,fantom,59.45576095581055,
LQhCAGE CL:0000771,+,LQhCAGE,CL:0000771,eosinophil,primary_cell,fantom,119.22451782226562,
LQhCAGE CL:0000775,+,LQhCAGE,CL:0000775,neutrophil,primary_cell,fantom,339.38720703125,IMMUNE
LQhCAGE CL:0000784,+,LQhCAGE,CL:0000784,plasmacytoid dendritic cell,primary_cell,fantom,103.1607666015625,IMMUNE
LQhCAGE CL:0000840,+,LQhCAGE,CL:0000840,immature conventional dendritic cell,primary_cell,fantom,826.5433959960938,IMMUNE
LQhCAGE CL:0000895,+,LQhCAGE,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,fantom,91.95846557617188,IMMUNE
LQhCAGE CL:0002092,+,LQhCAGE,CL:0002092,bone marrow cell,primary_cell,fantom,112.50702667236328,
LQhCAGE CL:0002166,+,LQhCAGE,CL:0002166,epithelial cell of Malassez,primary_cell,fantom,278.642333984375,
LQhCAGE CL:0002167,+,LQhCAGE,CL:0002167,olfactory epithelial cell,primary_cell,fantom,78.36111450195312,
LQhCAGE CL:0002193,+,LQhCAGE,CL:0002193,myelocyte,primary_cell,fantom,242.18133544921875,
LQhCAGE CL:0002397,+,LQhCAGE,CL:0002397,"CD14-positive, CD16-positive monocyte",primary_cell,fantom,75.36024475097656,IMMUNE
LQhCAGE CL:0002677,+,LQhCAGE,CL:0002677,naive regulatory T cell,primary_cell,fantom,60.0953369140625,IMMUNE
LQhCAGE UBERON:0012168,+,LQhCAGE,UBERON:0012168,umbilical cord blood,primary_cell,fantom,1110.8236083984375,
hCAGE CL:0000047,+,hCAGE,CL:0000047,neuronal stem cell,primary_cell,fantom,12.134684562683105,BRAIN
hCAGE CL:0000062,+,hCAGE,CL:0000062,osteoblast,primary_cell,fantom,30.61863136291504,
hCAGE CL:0000077,+,hCAGE,CL:0000077,mesothelial cell,primary_cell,fantom,41.45215606689453,
hCAGE CL:0000097,+,hCAGE,CL:0000097,mast cell,primary_cell,fantom,6.240642070770264,IMMUNE
hCAGE CL:0000134,+,hCAGE,CL:0000134,mesenchymal cell,primary_cell,fantom,37.52719497680664,
hCAGE CL:0000138,+,hCAGE,CL:0000138,chondrocyte,primary_cell,fantom,21.439882278442383,
hCAGE CL:0000182,+,hCAGE,CL:0000182,hepatocyte,primary_cell,fantom,34.04872131347656,LIVER
hCAGE CL:0000188,+,hCAGE,CL:0000188,cell of skeletal muscle,primary_cell,fantom,24.676044464111328,
hCAGE CL:0000214,+,hCAGE,CL:0000214,synovial cell,primary_cell,fantom,14.118721961975098,
hCAGE CL:0000216,+,hCAGE,CL:0000216,Sertoli cell,primary_cell,fantom,276.9911193847656,
hCAGE CL:0000235,+,hCAGE,CL:0000235,macrophage,primary_cell,fantom,39.823516845703125,IMMUNE
hCAGE CL:0000307,+,hCAGE,CL:0000307,tracheal epithelial cell,primary_cell,fantom,43.87181091308594,
hCAGE CL:0000312,+,hCAGE,CL:0000312,keratinocyte,primary_cell,fantom,33.14148712158203,SKIN
hCAGE CL:0000322,+,hCAGE,CL:0000322,pneumocyte,primary_cell,fantom,134.20896911621094,
hCAGE CL:0000388,+,hCAGE,CL:0000388,tendon cell,primary_cell,fantom,55.28364944458008,
hCAGE CL:0000453,+,hCAGE,CL:0000453,Langerhans cell,primary_cell,fantom,16.974895477294922,
hCAGE CL:0000515,+,hCAGE,CL:0000515,skeletal muscle myoblast,primary_cell,fantom,33.86757278442383,MUSCLE
hCAGE CL:0000540,+,hCAGE,CL:0000540,neuron,primary_cell,fantom,10.895456314086914,BRAIN
hCAGE CL:0000558,+,hCAGE,CL:0000558,reticulocyte,primary_cell,fantom,46.566463470458984,
hCAGE CL:0000569,+,hCAGE,CL:0000569,cardiac mesenchymal cell,primary_cell,fantom,31.969520568847656,HEART
hCAGE CL:0000575,+,hCAGE,CL:0000575,corneal epithelial cell,primary_cell,fantom,100.49095153808594,
hCAGE CL:0000576,+,hCAGE,CL:0000576,monocyte,primary_cell,fantom,15.824190139770508,IMMUNE
hCAGE CL:0000594,+,hCAGE,CL:0000594,skeletal muscle satellite cell,primary_cell,fantom,25.070316314697266,MUSCLE
hCAGE CL:0000623,+,hCAGE,CL:0000623,natural killer cell,primary_cell,fantom,17.459035873413086,IMMUNE
hCAGE CL:0000650,+,hCAGE,CL:0000650,mesangial cell,primary_cell,fantom,88.14716339111328,
hCAGE CL:0000708,+,hCAGE,CL:0000708,leptomeningeal cell,primary_cell,fantom,47.9016227722168,
hCAGE CL:0000731,+,hCAGE,CL:0000731,urothelial cell,primary_cell,fantom,67.40660858154297,
hCAGE CL:0000746,+,hCAGE,CL:0000746,cardiac muscle cell,primary_cell,fantom,72.80142974853516,HEART
hCAGE CL:0000767,+,hCAGE,CL:0000767,basophil,primary_cell,fantom,62.97188949584961,
hCAGE CL:0000775,+,hCAGE,CL:0000775,neutrophil,primary_cell,fantom,36.77899932861328,IMMUNE
