name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,histone_mark,data_source,endedness,genetically_modified,nonzero_mean,grp
CL:0000047 Histone ChIP-seq H2AFZ,.,Histone ChIP-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,H2AFZ,encode,single,False,0.9536862373352051,BRAIN
CL:0000047 Histone ChIP-seq H2AK5ac,.,Histone ChIP-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,H2AK5ac,encode,single,False,0.8193653225898743,BRAIN
CL:0000047 Histone ChIP-seq H2BK5ac,.,Histone ChIP-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,H2BK5ac,encode,single,False,1.0392050743103027,BRAIN
CL:0000047 Histone ChIP-seq H3K18ac,.,Histone ChIP-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,H3K18ac,encode,single,False,1.0500943660736084,BRAIN
CL:0000047 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,H3K27ac,encode,single,False,0.7851823568344116,BRAIN
CL:0000047 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,H3K27me3,encode,single,False,0.770723819732666,BRAIN
CL:0000047 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,H3K36me3,encode,single,False,0.7708343863487244,BRAIN
CL:0000047 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,H3K4me1,encode,single,False,0.7552356719970703,BRAIN
CL:0000047 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,H3K4me2,encode,single,False,4.456033229827881,BRAIN
CL:0000047 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,H3K4me3,encode,single,False,0.7188356518745422,BRAIN
CL:0000047 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,H3K9me3,encode,single,False,0.9412810802459717,BRAIN
CL:0000062 Histone ChIP-seq H2AFZ,.,Histone ChIP-seq,CL:0000062,osteoblast,primary_cell,unknown,H2AFZ,encode,single,False,0.8986108303070068,
CL:0000062 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000062,osteoblast,primary_cell,unknown,H3K27ac,encode,single,False,0.9727509021759033,
CL:0000062 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000062,osteoblast,primary_cell,unknown,H3K27me3,encode,single,False,1.0972812175750732,
CL:0000062 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000062,osteoblast,primary_cell,unknown,H3K36me3,encode,single,False,1.015264868736267,
CL:0000062 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000062,osteoblast,primary_cell,unknown,H3K4me1,encode,single,False,1.1814732551574707,
CL:0000062 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0000062,osteoblast,primary_cell,unknown,H3K4me2,encode,single,False,1.0706583261489868,
CL:0000062 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000062,osteoblast,primary_cell,unknown,H3K4me3,encode,single,False,0.8181998133659363,
CL:0000062 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0000062,osteoblast,primary_cell,unknown,H3K79me2,encode,single,False,0.9088215231895447,
CL:0000062 Histone ChIP-seq H4K20me1,.,Histone ChIP-seq,CL:0000062,osteoblast,primary_cell,unknown,H4K20me1,encode,single,False,0.9834175109863281,
CL:0000084 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000084,T-cell,primary_cell,adult,H3K27ac,encode,single,False,0.9991254806518555,
CL:0000084 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000084,T-cell,primary_cell,adult,H3K27me3,encode,single,False,1.5949115753173828,
CL:0000084 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000084,T-cell,primary_cell,adult,H3K36me3,encode,single,False,1.556289553642273,
CL:0000084 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000084,T-cell,primary_cell,adult,H3K4me1,encode,single,False,1.8891668319702148,
CL:0000084 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000084,T-cell,primary_cell,adult,H3K4me3,encode,single,False,1.0828938484191895,
CL:0000084 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0000084,T-cell,primary_cell,adult,H3K9me3,encode,single,False,1.4542584419250488,
CL:0000100 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000100,motor neuron,in_vitro_differentiated_cells,adult,H3K27ac,encode,paired,False,0.7073226571083069,BRAIN
