name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,nonzero_mean,grp
CL:0000047 DNase-seq,.,DNase-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,encode,single,False,1.5545012950897217,BRAIN
CL:0000084 DNase-seq,.,DNase-seq,CL:0000084,T-cell,primary_cell,adult,encode,paired,False,0.15140396356582642,
CL:0000115 DNase-seq,.,DNase-seq,CL:0000115,endothelial cell,in_vitro_differentiated_cells,adult,encode,paired,False,0.5130283832550049,
CL:0000127 DNase-seq,.,DNase-seq,CL:0000127,astrocyte,primary_cell,unknown,encode,single,False,0.8457521796226501,BRAIN
CL:0000134 DNase-seq,.,DNase-seq,CL:0000134,mesenchymal stem cell,in_vitro_differentiated_cells,embryonic,encode,paired,False,0.5400440096855164,
CL:0000136 DNase-seq,.,DNase-seq,CL:0000136,adipocyte,in_vitro_differentiated_cells,unknown,encode,paired,False,0.5403468608856201,ADIPOSE
CL:0000138 DNase-seq,.,DNase-seq,CL:0000138,chondrocyte,in_vitro_differentiated_cells,embryonic,encode,paired,False,0.45273175835609436,
CL:0000182 DNase-seq,.,DNase-seq,CL:0000182,hepatocyte,in_vitro_differentiated_cells,embryonic,encode,paired,False,0.30756181478500366,LIVER
CL:0000187 DNase-seq,.,DNase-seq,CL:0000187,myocyte,in_vitro_differentiated_cells,adult,encode,paired,False,0.80037522315979,MUSCLE
CL:0000188 DNase-seq,.,DNase-seq,CL:0000188,skeletal muscle cell,primary_cell,unknown,encode,single,False,4.767265319824219,MUSCLE
CL:0000223 DNase-seq,.,DNase-seq,CL:0000223,endodermal cell,in_vitro_differentiated_cells,embryonic,encode,paired,False,0.36153507232666016,
CL:0000236 DNase-seq,.,DNase-seq,CL:0000236,B cell,primary_cell,adult,encode,paired,False,0.4363890588283539,IMMUNE
CL:0000312 DNase-seq,.,DNase-seq,CL:0000312,keratinocyte,primary_cell,unknown,encode,single,False,2.104659080505371,SKIN
CL:0000351 DNase-seq,.,DNase-seq,CL:0000351,trophoblast cell,primary_cell,embryonic,encode,paired,False,0.35272279381752014,IMMUNE
CL:0000515 DNase-seq,.,DNase-seq,CL:0000515,skeletal muscle myoblast,primary_cell,unknown,encode,paired,False,0.47691610455513,MUSCLE
CL:0000545 DNase-seq,.,DNase-seq,CL:0000545,T-helper 1 cell,primary_cell,adult,encode,paired,False,0.35502371191978455,
CL:0000546 DNase-seq,.,DNase-seq,CL:0000546,T-helper 2 cell,primary_cell,adult,encode,paired,False,0.45415040850639343,
CL:0000623 DNase-seq,.,DNase-seq,CL:0000623,natural killer cell,primary_cell,adult,encode,paired,False,1.329219102859497,IMMUNE
CL:0000624 DNase-seq,.,DNase-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,0.24718108773231506,IMMUNE
CL:0000625 DNase-seq,.,DNase-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,0.245092511177063,IMMUNE
CL:0000632 DNase-seq,.,DNase-seq,CL:0000632,hepatic stellate cell,primary_cell,adult,encode,single,False,1.1046535968780518,
CL:0000653 DNase-seq,.,DNase-seq,CL:0000653,glomerular visceral epithelial cell,primary_cell,child,encode,paired,False,0.33863624930381775,
CL:0000679 DNase-seq,.,DNase-seq,CL:0000679,glutamatergic neuron,in_vitro_differentiated_cells,adult,encode,paired,False,0.6777439713478088,BRAIN
CL:0000706 DNase-seq,.,DNase-seq,CL:0000706,choroid plexus epithelial cell,primary_cell,unknown,encode,single,False,0.9258599281311035,
CL:0000746 DNase-seq,.,DNase-seq,CL:0000746,cardiac muscle cell,primary_cell,unknown,encode,single,False,0.9656065702438354,HEART
CL:0000787 DNase-seq,.,DNase-seq,CL:0000787,memory B cell,primary_cell,adult,encode,paired,False,0.5707800388336182,IMMUNE
CL:0000788 DNase-seq,.,DNase-seq,CL:0000788,naive B cell,primary_cell,unknown,encode,paired,False,1.8952505588531494,IMMUNE
CL:0000792 DNase-seq,.,DNase-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,adult,encode,paired,False,0.6506157517433167,IMMUNE
CL:0000823 DNase-seq,.,DNase-seq,CL:0000823,immature natural killer cell,primary_cell,unknown,encode,paired,False,0.9085276126861572,IMMUNE
CL:0000837 DNase-seq,.,DNase-seq,CL:0000837,hematopoietic multipotent progenitor cell,in_vitro_differentiated_cells,adult,encode,paired,False,0.4876305162906647,
CL:0000862 DNase-seq,.,DNase-seq,CL:0000862,suppressor macrophage,primary_cell,adult,encode,paired,False,0.23590947687625885,IMMUNE
CL:0000863 DNase-seq,.,DNase-seq,CL:0000863,inflammatory macrophage,primary_cell,adult,encode,paired,False,0.6210137605667114,IMMUNE
CL:0000895 DNase-seq,.,DNase-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,0.5822393894195557,IMMUNE
CL:0000897 DNase-seq,.,DNase-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,adult,encode,paired,False,3.524648904800415,IMMUNE
CL:0000899 DNase-seq,.,DNase-seq,CL:0000899,T-helper 17 cell,primary_cell,adult,encode,paired,False,0.7438492774963379,
CL:0000900 DNase-seq,.,DNase-seq,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,0.4006246030330658,IMMUNE
CL:0000904 DNase-seq,.,DNase-seq,CL:0000904,"central memory CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,1.6689720153808594,IMMUNE
CL:0000905 DNase-seq,.,DNase-seq,CL:0000905,"effector memory CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,1.3759067058563232,IMMUNE
CL:0000907 DNase-seq,.,DNase-seq,CL:0000907,"central memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,0.6267991065979004,IMMUNE
CL:0000909 DNase-seq,.,DNase-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,adult,encode,paired,False,0.8454427719116211,IMMUNE
CL:0000913 DNase-seq,.,DNase-seq,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,0.5821823477745056,IMMUNE
CL:0001042 DNase-seq,.,DNase-seq,CL:0001042,T-helper 22 cell,primary_cell,adult,encode,paired,False,4.007289886474609,
CL:0001044 DNase-seq,.,DNase-seq,CL:0001044,"effector CD4-positive, alpha-beta T cell",primary_cell,adult,encode,paired,False,1.9604204893112183,IMMUNE
CL:0001054 DNase-seq,.,DNase-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,encode,paired,False,0.3832496404647827,IMMUNE
CL:0001059 DNase-seq,.,DNase-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,encode,paired,False,0.8163495063781738,
CL:0002038 DNase-seq,.,DNase-seq,CL:0002038,T follicular helper cell,primary_cell,adult,encode,paired,False,4.746370315551758,
CL:0002061 DNase-seq,.,DNase-seq,CL:0002061,T-helper 9 cell,primary_cell,adult,encode,paired,False,2.6681625843048096,
CL:0002231 DNase-seq,.,DNase-seq,CL:0002231,epithelial cell of prostate,primary_cell,unknown,encode,single,False,1.79982590675354,
CL:0002252 DNase-seq,.,DNase-seq,CL:0002252,epithelial cell of esophagus,primary_cell,unknown,encode,single,False,0.6855566501617432,
CL:0002304 DNase-seq,.,DNase-seq,CL:0002304,non-pigmented ciliary epithelial cell,primary_cell,unknown,encode,single,False,3.0522754192352295,
CL:0002306 DNase-seq,.,DNase-seq,CL:0002306,epithelial cell of proximal tubule,primary_cell,unknown,encode,single,False,2.5602056980133057,
CL:0002327 DNase-seq,.,DNase-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,encode,paired,False,0.6776365637779236,
CL:0002328 DNase-seq,.,DNase-seq,CL:0002328,bronchial epithelial cell,primary_cell,unknown,encode,single,False,0.7579159140586853,LUNG
CL:0002351 DNase-seq,.,DNase-seq,CL:0002351,progenitor cell of endocrine pancreas,in_vitro_differentiated_cells,embryonic,encode,paired,False,1.0526008605957031,ISLET
CL:0002372 DNase-seq,.,DNase-seq,CL:0002372,myotube,in_vitro_differentiated_cells,unknown,encode,single,False,2.400099754333496,MUSCLE
CL:0002518 DNase-seq,.,DNase-seq,CL:0002518,kidney epithelial cell,primary_cell,unknown,encode,single,False,2.745112657546997,
CL:0002536 DNase-seq,.,DNase-seq,CL:0002536,amniotic epithelial cell,primary_cell,unknown,encode,single,False,0.9171459078788757,
CL:0002547 DNase-seq,.,DNase-seq,CL:0002547,fibroblast of the aortic adventitia,primary_cell,unknown,encode,single,False,0.6756204962730408,
CL:0002548 DNase-seq,.,DNase-seq,CL:0002548,cardiac fibroblast,primary_cell,adult,encode,paired,False,0.6222532987594604,HEART
CL:0002550 DNase-seq,.,DNase-seq,CL:0002550,fibroblast of the conjunctiva,primary_cell,unknown,encode,single,False,2.0065205097198486,
CL:0002551 DNase-seq,.,DNase-seq,CL:0002551,fibroblast of dermis,primary_cell,adult,encode,single,False,1.079167366027832,SKIN
CL:0002552 DNase-seq,.,DNase-seq,CL:0002552,fibroblast of gingiva,primary_cell,unknown,encode,paired,False,0.5092926621437073,
CL:0002553 DNase-seq,.,DNase-seq,CL:0002553,fibroblast of lung,primary_cell,adult,encode,single,False,0.7885729074478149,
CL:0002555 DNase-seq,.,DNase-seq,CL:0002555,fibroblast of mammary gland,primary_cell,unknown,encode,single,False,0.8995188474655151,
CL:0002557 DNase-seq,.,DNase-seq,CL:0002557,fibroblast of pulmonary artery,primary_cell,unknown,encode,single,False,0.9265996813774109,ARTERY
CL:0002558 DNase-seq,.,DNase-seq,CL:0002558,fibroblast of villous mesenchyme,primary_cell,unknown,encode,single,False,0.7923138737678528,
CL:0002565 DNase-seq,.,DNase-seq,CL:0002565,iris pigment epithelial cell,primary_cell,unknown,encode,single,False,0.7827289700508118,
CL:0002584 DNase-seq,.,DNase-seq,CL:0002584,renal cortical epithelial cell,primary_cell,unknown,encode,single,False,0.8318119049072266,
CL:0002586 DNase-seq,.,DNase-seq,CL:0002586,retinal pigment epithelial cell,primary_cell,unknown,encode,single,False,2.909048318862915,
CL:0002590 DNase-seq,.,DNase-seq,CL:0002590,smooth muscle cell of the brain vasculature,primary_cell,unknown,encode,single,False,2.438349962234497,ARTERY
CL:0002603 DNase-seq,.,DNase-seq,CL:0002603,astrocyte of the cerebellum,primary_cell,unknown,encode,single,False,1.9216886758804321,BRAIN
CL:0002604 DNase-seq,.,DNase-seq,CL:0002604,astrocyte of the hippocampus,primary_cell,unknown,encode,single,False,0.5650158524513245,BRAIN
CL:0002606 DNase-seq,.,DNase-seq,CL:0002606,astrocyte of the spinal cord,primary_cell,unknown,encode,single,False,0.8070069551467896,BRAIN
CL:0002618 DNase-seq,.,DNase-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,encode,single,False,0.37584367394447327,ARTERY
CL:0010001 DNase-seq,.,DNase-seq,CL:0010001,stromal cell of bone marrow,primary_cell,unknown,encode,single,False,2.691941738128662,
CL:0011012 DNase-seq,.,DNase-seq,CL:0011012,neural crest cell,in_vitro_differentiated_cells,embryonic,encode,paired,False,0.8980225324630737,IMMUNE
CL:0011019 DNase-seq,.,DNase-seq,CL:0011019,mesothelial cell of epicardium,in_vitro_differentiated_cells,embryonic,encode,paired,False,0.6035394072532654,
CL:0011020 DNase-seq,.,DNase-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,encode,paired,False,0.4942465126514435,
CL:0011021 DNase-seq,.,DNase-seq,CL:0011021,fibroblast of upper back skin,primary_cell,embryonic,encode,paired,False,0.9696041941642761,
CL:0011022 DNase-seq,.,DNase-seq,CL:0011022,fibroblast of skin of back,primary_cell,embryonic,encode,paired,False,0.8348377346992493,
CL:1000507 DNase-seq,.,DNase-seq,CL:1000507,kidney tubule cell,primary_cell,adult,encode,paired,False,0.5207222700119019,
