Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ADIPOSE	1.6394343971299984e-08	6.1437459878541766e-09	0.0038099860076165936
LIVER	8.249585237716936e-09	4.8695167731719095e-09	0.04512047110203683
ISLET	-7.280064425741566e-10	4.750059802274759e-09	0.5609043974254635
MUSCLE	-3.3934825233356672e-09	4.8740468585041715e-09	0.7568591966266793
HEART	-5.086782473884816e-09	4.975813837925531e-09	0.846680913138919
LUNG	-5.806848605137953e-09	4.093150539625609e-09	0.9220030436219798
IMMUNE	-7.929890100080278e-09	4.4150865753615326e-09	0.9637598482384958
ARTERY	-9.28186191298146e-09	4.552928431655435e-09	0.9792578913025916
INTESTINE	-1.2639207253685022e-08	6.039595533363646e-09	0.981813105627883
SKIN	-1.4310908759435771e-08	4.767560625318995e-09	0.9986577297835845
BRAIN	-9.516461820463041e-09	2.9488097415513052e-09	0.999375006435752
